ngrams;DF;IDF
OBSTACLE ;18326;1.50930537384619
ACTIVATED AIRSPACE ;18187;1.51261198927652
ABOVE ;18065;1.51553509017114
AREA ACTIVATED AIRSPACE ;17798;1.52200185364071
AREA NAVIGATION ;17688;1.52469432650453
LOCATION ;17592;1.52705783972245
ACTIVATED AIRSPACE CLOSED ;17549;1.52812068210271
PROGRESS ;17313;1.53400072704686
AIR_TRAFFIC_CONTROL ;17193;1.53702139289777
LINE ;17110;1.53912304653409
WORK ;17039;1.54092895315775
LOCAL ;16994;1.54207744215814
GROUND <flightlevel> ;16722;1.54908483697824
<distance> RADIUS ;16348;1.55890842703563
DEPARTURE ;16220;1.56232220620005
LOCALLY ;16079;1.5661140208659
LOCAL LOCALLY ;16071;1.56633015498266
LOCAL LOCALLY LOCATION ;16071;1.56633015498266
LOCALLY LOCATION ;16071;1.56633015498266
TOWER ;16054;1.56678979743443
WORK PROGRESS ;15804;1.57360603506578
CENTRE ;15684;1.57691622244702
CATEGORY ;15662;1.57752583644374
GROUND LEVEL ;15572;1.58002866102906
FREQUENCY ;15455;1.58330404667586
ABOVE GROUND ;15389;1.58516265642513
ABOVE GROUND LEVEL ;15351;1.58623638438341
LANDING SYSTEM UNSERVICEABLE ;15127;1.59262024917769
APPROACH PROCEDURE ;15020;1.59570312340704
OPERATION ;14956;1.597557599593
SIDE ;14754;1.60346327695282
DUE WIP ;14732;1.60411134589231
SOUTH ;14559;1.60924151004024
AMENDMENT ;14507;1.61079544502631
RAIM ;14497;1.61109491716748
GLOBAL_POSITIONING_SYSTEM RAIM ;14491;1.61127469962426
<distance> ABOVE ;14483;1.61151452539519
<distance> ABOVE GROUND ;14481;1.61157450253683
TRAFFIC ;14148;1.62167800493247
MAY ;13897;1.62945199855957
LIGHTS ;13679;1.63631870652413
CIRCLE ;13638;1.63762236996657
FLIGHT INFORMATION ;13611;1.63848302208951
HOUR ;13604;1.6387064328145
INSTRUMENT APPROACH ;13371;1.64620916726935
TAXIWAY TAXIWAY ;13347;1.64698939560748
PATH ;13283;1.64907688342987
INSTRUMENT APPROACH PROCEDURE ;13177;1.65255651013797
DUE MAINTAIN ;13098;1.6551680699824
DUE MAINTAIN MAINTENANCE ;13098;1.6551680699824
OR ;13091;1.65540023321473
OPERATOR ;13034;1.6572953394156
ATS ROUTE ;13032;1.65736198477473
WITHIN AREA ;13016;1.65789551614638
ACTIVATED TEMPORARY ;12897;1.66188435623852
